text,emotion,response,langs_used
Mình mất cha từ 10 tuổi cái tuổi còn quá bé nhỏ để hiểu nỗi đau mất Cha .Thèm có cảm giác hạnh phúc giống từng câu từ của ca khúc .Sao nghe mà lệ tuôn rơi .,Sadness,"Cứ khóc nếu muốn, rồi lau nước mắt và đi tiếp nhé.",
Dù đúng hay sai Dù vui hay buồn Gần gũi hay hờn giận Thì cha mẹ cũng đã mang đến cho chúng con 1 cuộc đời Bởi vậy đằng sau những niềm vui hay những nỗi buồn tất cả đều ẩn giấu sự biết ơn và trân trọng công nghĩa sinh thành,Neutral,"Cuộc sống đôi khi bình lặng, và đó cũng là một điều tốt.",
"Lời bài hát thật sâu sắc , nặng tình nghĩa cha con. Ngày xưa còn ít tuổi,nông nổi ko hiểu biết ,ngày nay thấu thía tình thương Cha Mẹ ko còn…ko làm lại đc",Sadness,"Mình hiểu cảm giác đó, ai cũng có lúc thấy lòng nặng trĩu mà.",
Nghe bài hát . này mình lại nhớ đến cha .Cha mình đã mất đc hơn 4 năm rồi .cha ơi ! con cảm ơn cha đã sinh ra con trên cuộc đời này .con nghe bài hát này con khóc rất nhiều .,Sadness,"Cứ khóc nếu muốn, rồi lau nước mắt và đi tiếp nhé.",
Cha ơi cha đã già rồi Lòng con ghi khắc đời đời ơn cha Trời xanh biển rộng bao la Làm sao sánh được tình cha muôn ngàn 1. Nhìn lá vàng rơi lòng con nghẹn [Em] ngào Thương cha cả đời vất vả gian [Am] nan Mình cha lo lắng cưu [Em] mang Mẹ con mất sớm dở [Am] dang Bao gian [B7] khổ cha vẫn không [Em] màng. 2. Còn nhớ ngày xưa mỗi khi chiều [Em] về Cha con nô đùa cổng trước nhà [Am] sau Hàng [D] tre khóm trúc vườn [G] rau Sợ [E7] con vấp ngã con [Am] đau Cha ân [B7] cần nói dặn từng [Em] câu. ĐK: Con mãi không [Am] quên những lời ru [Em] của cha thay [Bm] mẹ Ôm con vào lòng trời đông buốt [G] giá Lúc [E7] ốm lúc [Am] đau một mình cha [D] Nắng mưa dãi [Bm] giầu Ôm con vào [B7] lòng mắt lệ đậm [Em] sâu. 3. Chiều xuống dần trôi mà nghe chạnh [Em] lòng Lưng cha đã còng tóc đã bạc [Am] phai Thầm [D] than số kiếp oán [G] ai Trời [E7] gieo chi nỗi đắng [Am] cay Hay chỉ [B7] là phận số an [Em] bài.,Sadness,"Cảm xúc này rồi cũng sẽ qua, như bao lần khác bạn đã vượt qua.",
Cháu trai hát bài này o còn cha mà bác thương cha thương mẹ dớt nước mắt cám ơn cháu hát rất hay tình cảm đậm đà bác ủng hộ cháu,Sadness,"Cứ khóc nếu muốn, rồi lau nước mắt và đi tiếp nhé.",
Bố mất nay cung đc 62 ngày rồi . Nghe bài hát mà nước mắt cứ chảy vì nhớ bố . Cả cuộc đời vì con cái . Chưa có cơ hội hay báo hiếu bố đc lúc nào . Xl bố bố ơi,Sadness,"Đôi khi chỉ cần cho bản thân một chút yên lặng, là đã đủ tốt rồi.",
"Mỗi lần nghe dũng sến hát nước mắt tôi cứ chảy ra , nhớ cha quá , tự đáy lòng ai còn cha , là nguồn hạnh phúc vô biên",Sadness,"Đôi khi chỉ cần cho bản thân một chút yên lặng, là đã đủ tốt rồi.",
"Hãy quỳ xuống mà nghe ( dũng sến hát , dũng sến ơi giọng ca của anh , nói hộ lòng chúng tôi ngày tết , mãi nhớ cha , và ơn cha đến trọn cuộc đời này )",Sadness,"Dù bây giờ có khó khăn, nhưng rồi mọi chuyện cũng sẽ dần ổn thôi.",
Bài hát hay quá rất nổi tiếng đi vào tháng năm được ca sĩ Dũng sến thể hiện lắng đọng ngọt ngào truyền cảm sâu lắng từng câu ý đọng vào tim người nghe cha ơi cha đã già rồi nhìn lá vàng rơi lòng con nghẹn ngào,Sadness,Mình tin rằng bạn xứng đáng với những điều tốt đẹp hơn thế.,
Vậy là cha đã đi xa mình cũng gần 10 năm rồi. Mình rất buồn là chưa chăm sóc cho cha. Vì cha đi rất nhanh nên con chưa kịp chăm sóc cha,Sadness,"Hãy nhẹ nhàng với chính mình, bạn không cần phải mạnh mẽ mọi lúc đâu.",
"Bài này tựa như hoàn cảnh nhà mình, mẹ mình bị bệnh từ năm 40 tuổi đến năm 58 tuổi thì mất, cha ở vậy tần tảo nuôi 6 anh e, nhà nghèo k ruộng đất , chỉ làm nghề thủ công để nuôi 8 miệng ăn , thương cha cả một đời vất vả , khi mẹ tôi mất cha mới 60 tuổi , các con động viên cha tìm bạn lúc tuổi già, cha một mực nói: bố ở vậy để thờ cúng mẹ các con , cứ như thế mẹ tôi mất được 26 năm thì cha tôi cũng bỏ chúng tôi mà đi. Luôn thương nhớ cha chịu thương chịu khó vất vả cả đời, một người lính chống pháp nhưng k được hưởng chế độ gì vì năm 1972 ông làm mất hết giấy tờ , thương cha mà nghe bài này tự nhiên nước mắt rơi",Sadness,"Mình hiểu cảm giác đó, ai cũng có lúc thấy lòng nặng trĩu mà.",
