emotion,response
sadness,"Mình hiểu cảm giác đó, ai cũng có lúc thấy lòng nặng trĩu mà."
sadness,"Buồn là một phần của cuộc sống, hãy cho phép mình nghỉ ngơi một chút nhé."
sadness,"Dù bây giờ có khó khăn, nhưng rồi mọi chuyện cũng sẽ dần ổn thôi."
sadness,"Thời gian sẽ giúp bạn chữa lành, chỉ cần đừng bỏ cuộc."
sadness,"Hãy nhẹ nhàng với chính mình, bạn không cần phải mạnh mẽ mọi lúc đâu."
sadness,"Cảm xúc này rồi cũng sẽ qua, như bao lần khác bạn đã vượt qua."
sadness,"Đôi khi chỉ cần cho bản thân một chút yên lặng, là đã đủ tốt rồi."
sadness,"Mình tin rằng bạn xứng đáng với những điều tốt đẹp hơn thế."
sadness,"Cứ khóc nếu muốn, rồi lau nước mắt và đi tiếp nhé."
sadness,"Bạn đã cố gắng rất nhiều rồi, hãy tự ôm lấy mình một cái."
loneliness,"Cảm giác cô đơn đôi khi chỉ là dấu hiệu bạn đang cần được lắng nghe thôi."
loneliness,"Bạn không thật sự một mình đâu, chỉ là chưa gặp đúng người để chia sẻ."
loneliness,"Hãy nhớ rằng luôn có ai đó sẵn sàng quan tâm, kể cả khi bạn chưa nhận ra."
loneliness,"Dù bây giờ bạn thấy trống trải, nhưng điều đó sẽ không kéo dài mãi đâu."
loneliness,"Thế giới vẫn có những người hiểu bạn, chỉ là họ chưa đến thôi."
loneliness,"Hãy yêu thương bản thân nhiều hơn, bạn là người bạn đầu tiên của chính mình."
loneliness,"Cô đơn không đáng sợ, đáng sợ là quên mất mình xứng đáng được yêu."
loneliness,"Bạn có thể bắt đầu từ những điều nhỏ — một tách trà, một cuốn sách, một bài nhạc."
loneliness,"Mọi người đều từng thấy cô đơn, nhưng đó không định nghĩa bạn đâu."
loneliness,"Hãy mở lòng một chút, bạn sẽ ngạc nhiên khi thấy bao người sẵn lòng lắng nghe."
anxiety,"Mọi chuyện hiếm khi tệ như ta tưởng, hít sâu và bình tĩnh lại nhé."
anxiety,"Bạn không cần phải biết hết mọi câu trả lời ngay lúc này."
anxiety,"Hãy tập trung vào điều bạn có thể kiểm soát, và buông bỏ phần còn lại."
anxiety,"Lo lắng chứng tỏ bạn quan tâm, nhưng đừng để nó chiếm hết niềm vui."
anxiety,"Bạn đã làm tốt hơn bạn nghĩ đấy."
anxiety,"Mọi thứ đều có cách giải quyết, chỉ cần đi từng bước một."
anxiety,"Khi tâm trí hỗn loạn, hãy cho bản thân vài phút hít thở thật sâu."
anxiety,"Cảm giác này rồi cũng sẽ trôi qua, đừng sợ nó."
anxiety,"Bạn không một mình trong chuyện này đâu, ai cũng từng lo như bạn cả."
anxiety,"Hãy tin rằng bạn đủ mạnh mẽ để vượt qua mọi thử thách."
neutral,"Hôm nay có thể không đặc biệt, nhưng bạn vẫn đang tiến lên."
neutral,"Cuộc sống đôi khi bình lặng, và đó cũng là một điều tốt."
neutral,"Không cần phải vui hay buồn, chỉ cần sống đúng nhịp của mình là đủ."
neutral,"Hãy cứ điềm tĩnh, mọi thứ đang ở đúng vị trí của nó."
neutral,"Dù chẳng có gì nổi bật hôm nay, bạn vẫn xứng đáng được nghỉ ngơi."
neutral,"Có những ngày chỉ nên tồn tại nhẹ nhàng — không áp lực, không kỳ vọng."
neutral,"Hãy tận hưởng những khoảnh khắc bình thường, vì chúng quý giá hơn bạn nghĩ."
neutral,"Đôi khi “không có gì để nói” cũng là một cảm xúc rất thật."
neutral,"Cứ chậm lại một chút, không sao đâu."
neutral,"Không cần phải cảm thấy quá nhiều — chỉ cần hiện diện, thế là đủ."
positive,"Tuyệt vời! Hãy tiếp tục lan tỏa năng lượng tích cực này nhé."
positive,"Bạn đang làm rất tốt, đừng quên tự thưởng cho mình một chút."
positive,"Cảm ơn bạn đã chia sẻ niềm vui, thật ấm lòng khi đọc điều đó."
positive,"Hãy giữ tinh thần này, nó sẽ giúp bạn vượt qua mọi thử thách khác."
positive,"Mọi thứ tốt đẹp đều bắt đầu từ thái độ tích cực như bạn đang có."
positive,"Niềm vui của bạn có thể là ánh sáng cho người khác nữa đấy."
positive,"Hãy tận hưởng khoảnh khắc này thật trọn vẹn nhé."
positive,"Bạn xứng đáng với hạnh phúc mà bạn đang có."
positive,"Cảm ơn bạn vì đã truyền cảm hứng cho mọi người hôm nay."
positive,"Hãy lưu giữ cảm giác này để nhớ rằng cuộc sống luôn có điều đẹp."
anger,"Giận dữ là cảm xúc bình thường, nhưng đừng để nó làm bạn tổn thương thêm."
anger,"Hãy hít sâu, thở ra chậm — bạn có quyền cảm thấy bực, nhưng đừng vội hành động."
anger,"Đôi khi im lặng một chút sẽ giúp bạn nhìn rõ mọi chuyện hơn."
anger,"Giận ai đó không có nghĩa bạn ghét họ, chỉ là bạn cần được hiểu thôi."
anger,"Hãy cho bản thân thời gian nguôi ngoai, bạn xứng đáng được bình yên."
anger,"Đừng để cảm xúc điều khiển bạn, bạn mạnh mẽ hơn thế."
anger,"Nếu có thể, hãy viết ra thay vì nói ra khi còn nóng giận."
anger,"Mọi cơn giận đều qua đi, nhưng lời nói lúc đó có thể ở lại mãi."
anger,"Hãy chọn bình yên, vì nó luôn tốt hơn tranh cãi."
anger,"Bạn có thể tức giận, nhưng cũng có thể chọn tha thứ — cho người khác và cho chính mình."
