<<<<<<< HEAD
﻿text,response,emotion,langs_used
"Tôi mất cha tôi khi 10 tuổi, tôi quá trẻ để hiểu nỗi đau của mẹ tôi.","Thôi đi, nếu anh muốn, anh có thể làm sạch những giọt nước mắt và tiếp tục.",Sadness,fra_Latn→ita_Latn
Tôi đã mất cha tôi khi tôi 10 tuổi. Tôi còn quá trẻ để hiểu nỗi đau.,"Berteriak nếu bạn muốn, puis rincez l'eau douce et continuez",Sadness,ind_Latn→fra_Latn→jpn_Jpan
"Dù tốt hay xấu, hạnh phúc hay buồn, tức giận, cha mẹ là người mang lại cho chúng ta sự sống.","Cuộc sống có thể bình tĩnh, và đó là tốt.",Neutral,zho_Hans→rus_Cyrl→ind_Latn
"Dù là đúng hay sai, dù là hạnh phúc hay buồn, dù là buồn hay giận dữ, cha mẹ cho chúng ta sự sống, vì vậy, đằng sau mọi hạnh phúc hay buồn, tất cả chúng ta đều che giấu một cảm giác biết ơn và tôn trọng được sinh ra từ công lý.","Đôi khi sống yên tĩnh, và đó là điều tốt.",Neutral,ind_Latn→eng_Latn
##############################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################,Ai cũng cảm thấy tồi tệ thỉnh thoảng.,Sadness,fil_Latn→por_Latn→tur_Latn
"Bài hát rất sâu sắc, rất yêu thương cha.","Tôi hiểu cảm giác đó, mọi người đều bị nặng thỉnh thoảng.",Sadness,tur_Latn
Tôi có tình cảm với cha tôi đã qua đời bốn năm trước.,Tôi sẽ rửa mắt và đi trước anh.,Sadness,tha_Thai→por_Latn→kor_Hang
"Bu yalanı hatırlıyorum, baba, bu yalanı hatırlıyorum, bu yalanı duydum ve çok açıyorum",Có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể có thể,Sadness,deu_Latn→tur_Latn→por_Latn
"Mon père est vieux, mon cœur est inscrit pour toujours l'amour de mon père qui est bleu et large Comment pourrais-je comparer à l'amour de mon père pour toujours 1. Regardez les feuilles d'or qui tombent dans mon cœur, l'amour de mon père pour toujours dans la souffrance [Am] Mon père à peur que je porte ta mère mort trop tard [Am] dang jam [B7] La souffrance de mon père ne me rappelle pas encore [Am] 2. Souvenez-vous des jours passés chaque fois que j'ai juré à mon fils à l'entrée de la maison [D] derrière la porte [D] Taman [G] Mauran [E] Je me rappelle à chaque enfant [Am] Jeai dois dire [B] Je dois dire [B] Je ne porte pas ta mère mort trop tard [Am] dang jam [B7] La souffrance de mon père ne me rappelle pas encore [Am] 2. Souvenez-vous des jours passés chaque fois que j'ai juré à mon fils à l'entrée de la maison [D] Taman [G] Mauran [E] Je me rappelle à chaque enfant [G] Je dois dire [Am] Je dois dire [B] Je dois dire [B] Je dois dire [B] Je ne porte pas ta mère mort trop tard [Am] Dang [B] Jam [B7] La souffrance de mon père ne me rappelle pas encore [E] La souffrance de mon père ne me rappelle pas encore [E] 2. Souvenez-vous des jours passés des jours passés chaque fois que j'ai jurés chaque fois que j'ai juré à mon fils à l'amour de mon fils à l'entrée de mon père à l'entrée de la maison [D] Je suis à l'entrée de la maison [D] Sau que j'entrée de la porte [D] Taman [D] Taman [G] Mauran [G] Mauran [E] Mauran [E] Mauran [E] [E] [E] Je me rappelle [E] Je me rappelle [E] Je me rappelle à chaque enfant [E] Je dois me rappelle [E] Je dois dire [E] Je dois dire [E] Je dois dire [E] Je dois dire [E] Je dois dire [E] Je dois dire [","Cảm giác biến mất, như thể họ đã làm điều đó trước đây.",Sadness,ind_Latn→fra_Latn→ita_Latn
"Cha tôi, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già, người già.","Nó chỉ là như vậy, như cũ của cô ấy.",Sadness,tur_Latn→rus_Cyrl→eng_Latn
Con trai tôi hát bài hát này và tôi có một người cha tôi yêu và một người cha tôi yêu và tôi khóc.,"Bạn có thể khóc nếu bạn muốn, và sau đó xóa đi nước mắt của bạn và tiếp tục.",Sadness,nld_Latn
Tôi hát bài hát này. Tôi hát bài hát này. Tôi hát bài hát này. Tôi hát bài hát này. Tôi hát bài hát này. Tôi hát bài hát này. Tôi hát bài hát này.,"Berteric nếu bạn muốn, bạn có thể làm cho thảm và tiếp tục.",Sadness,ind_Latn→nld_Latn
"62 ngày sau khi cha tôi qua đời, tôi nghe những bài hát than phiền về tôi, tôi đã dành cả đời mình cho con tôi, và tôi chưa bao giờ có cơ hội hoặc cơ hội để cảm ơn tôi.","Thỉnh thoảng, những con lợn nhỏ sẽ yên lặng một chút.",Sadness,por_Latn→zho_Hans
"Tôi đã đi mất 62 ngày, nghe một bài hát không ngừng khóc cho tôi, cả cuộc đời tôi cho con cái tôi, không bao giờ có cơ hội để nói lời tạm biệt.",Đôi khi chỉ cần tự cho mình một chút bình yên là đủ.,Sadness,msa_Latn
"Bất cứ khi nào tôi nghe ca khúc của con trai dũng cảm, mes larmes s'écoulent, je me souviens beaucoup de toi, au fond de moi qui est le père, source d'un bonheur sans fin.",Đôi khi chỉ cần bình tĩnh thôi.,Sadness,fra_Latn→tur_Latn
"Không có gì có thể làm cho mọi người cảm thấy xấu, nhưng bạn phải làm cho mọi người cảm thấy xấu, và không có gì có thể làm cho mọi người cảm thấy xấu, và không có gì có thể làm cho mọi người cảm thấy xấu, và không có gì có thể làm cho mọi người cảm thấy xấu, và không có gì có thể làm cho mọi người cảm thấy xấu, và không có gì có thể làm cho mọi người cảm thấy xấu.",Đôi khi chỉ cần một chút bình an là đủ.,Sadness,fil_Latn→spa_Latn
