comment_text,author,votes,time
"Khoảng 4-5 tập nữa là có vòng gala, sẽ là tập mà 8 người thắng cuộc ở các vòng loại chơi với nhau. 🎉

Còn mấy tập này chỉ là vòng loại thôi, nên mọi người đừng toxic người chơi quá nha. 😢

Like, Chia Sẻ, Bình Luận và Đăng Ký kênh để tăng tương tác cho video, để tụi mình có động lực quay nhanh series và có vòng Gala nhanh nhất nha ❤❤❤

P/s: Ai muốn tham gia sinh tồn các vòng loại như tập này thì có thể truy cập Lamvlog.com và đặt 1 chiếc áo để có cơ hội tham gia, thử thách bản thân nha 😂",,"1,2 N",2 tháng trước (đã chỉnh sửa)
Làm giải trí hay quá ❤❤❤❤❤,@kenhcaunguyenmoiN,0,3 ngày trước
Em muốn tham gia,@sang123phanhai,0,5 ngày trước
Muon choi thi mua ao sơ mi hay mua ao nao cung dc choi ta?,@hasang8291,0,6 ngày trước
"VŨ TRỤ TOP 1 SINH TỒN RỒI, CHƠI NÀY NHƯ ĐI NGHĨ DƯỠNG VỚI VŨ THOAI😂",@tranbaogiang3225,1,6 ngày trước
Thương mà chơi chắc khách mời đến xong về 😂,@ninhnguyen192,0,6 ngày trước
Nhìn ông chỗ ngủ của tú tôi ko nhịn được cười 😅,@SinhDuong-m7v3v,0,8 ngày trước
Xem 1/3 video đã biết ai thắng,@tranbaoviet2804,0,9 ngày trước
thử thách 1 tuần hoặc 1 tháng như vậy mới đáng xem,@TuấnNgoc-f1e,0,10 ngày trước
sinh tồn bên a thấy chán,@TuấnNgoc-f1e,0,10 ngày trước
làm sao để tham gia,@ThanhDat-p2m,0,11 ngày trước
Thấy cái mặt thằng đại vô dụng chơi hay lắm gì cũng vậy đu heo,@HồngPhướcTrần-t7e,0,11 ngày trước
Sặc nước luôn ông tưởng chà bá ăn con tép mà làm sạch con tép kakala,@ThaoNguyen-ur4si,0,11 ngày trước
Ah vũ trụ kinh nghiệm quá,@HienLe-yd7fb,0,12 ngày trước
Vũ Trụ thì khỏi chê rất giỏi làm chổi đep gọn các bạn trẻ nhỏ nên theo cháu Vũ Trụ học hỏi đề thành công nha,@ThaoMinh-v4r,0,12 ngày trước
Top 1 sinh tồn Vũ Trụ Vlog trà trộn vào đây chiến với tân thủ 😂😂,@ThienLocTrinh,0,13 ngày trước
tre thì cả đống.   mà cái đầu ở đâu ở dưới đất hok à.   làm cái liều nhìn muốn tạch luôn rồi 😂,@Hair-Stylist-Flower,0,13 ngày trước
Chơi game mà đội chủ nhà toàn ngủ để bảo toàn năng lượng :)),@PhongTruong-e6e,0,13 ngày trước
Quá đã,@LanhHa-q8x,0,2 tuần trước
mày làm clip sinh tồn muốn hay và xác thuật thì nên mời những thành viên như vũ trụ hay những thành viên biết sinh tồn chứ mày cho mâý thằn con nít bít cái cuồn què gì mà sinh tồn nhìn chả ra sao,@VuLe-mp3lu,0,2 tuần trước
"hello anh, em fan anh đc 5 năm và cũng ở bình dương (cũ) mà vẫn chưa gặp anh hihi",@lephuong-h7j,1,2 tháng trước
GALA VU TRỤ WIN LUÔN MÌNH NGHĨ VẬY,@quangluanle6372,17,2 tháng trước
>???,@dunghuynh729,1,2 tháng trước
Mấy thằng ất ơ kênh lâm cho vào tấu hề chứ làm ăn gì. Ngoài thương ra thì toàn ông kễnh.,@ThangTran-tw6tn,0,2 tháng trước
dự án này đã có từ  năm trước rồi có mời mình mà núc đấy mình không đủ tuổi 😂😂😂😂,@ĐạtThành-s6r,1,2 tháng trước
"Game này phải đưa bạn thương vô mới đọ lại dc với vũ trụ , vũ hay làm vlog sinh tồn nên kỹ năng cao",@vantan090,10,2 tháng trước
" @vantan090 mình nghĩ vũ chắc cân đc cả team a Lâm á 😂😂 mình cày náy video ông Vũ r , trâu phết đấy",@QuốcChíTrương-t7o,4,2 tháng trước
